x,y,z,srp_score
0.02,0.02,0.0,0.003968482251098151
0.04,0.02,0.0,-0.005226021404073258
0.06,0.02,0.0,0.0013167792410065762
0.08,0.02,0.0,-0.004992089674929816
0.1,0.02,0.0,-0.002953331762170044
0.12000000000000001,0.02,0.0,0.03731370016401834
0.13999999999999999,0.02,0.0,0.0005729017528767171
0.16,0.02,0.0,-0.0028113563737819074
0.18,0.02,0.0,0.0004984057590606851
0.19999999999999998,0.02,0.0,0.003605965499362431
0.22,0.02,0.0,-0.00625045138092895
0.24,0.02,0.0,-0.00410273220601534
0.26,0.02,0.0,0.007305737117377744
0.28,0.02,0.0,0.025854217961119582
0.30000000000000004,0.02,0.0,0.008110581713914492
0.32,0.02,0.0,0.021027496196668275
0.34,0.02,0.0,0.002191109802450809
0.36000000000000004,0.02,0.0,0.0016041490831904363
0.38,0.02,0.0,0.025795289736638853
0.4,0.02,0.0,0.024607376756034218
0.42000000000000004,0.02,0.0,0.0009960223862695886
0.44,0.02,0.0,0.03130258945006714
0.46,0.02,0.0,0.008272611582457153
0.48000000000000004,0.02,0.0,0.004349868702119616
0.5,0.02,0.0,0.02391674545357399
0.52,0.02,0.0,-0.004513456774427559
0.54,0.02,0.0,-0.006922611909604933
0.56,0.02,0.0,-0.004364462468208462
0.5800000000000001,0.02,0.0,0.02319043546070205
0.6,0.02,0.0,0.007523183927246395
0.62,0.02,0.0,0.0070236327757412734
0.64,0.02,0.0,-0.003087261209209321
0.66,0.02,0.0,-0.002472750865474394
0.68,0.02,0.0,-0.0013425325460680892
0.7000000000000001,0.02,0.0,-0.0005702302185617689
0.7200000000000001,0.02,0.0,-0.0013245887245271935
0.74,0.02,0.0,-0.0043403241309671785
0.76,0.02,0.0,0.032727028625369324
0.78,0.02,0.0,0.016769646130336123
0.8,0.02,0.0,-0.009445578906639936
0.8200000000000001,0.02,0.0,-0.003096308416792971
0.8400000000000001,0.02,0.0,-0.0004690383205993568
0.86,0.02,0.0,0.0007692188664941975
0.88,0.02,0.0,0.003311707975312984
0.9,0.02,0.0,0.00044791636955242525
0.92,0.02,0.0,0.002296600880800389
