scene_id,experiment_id,variable,value,source_count,mic_layout,num_mics,num_pairs,rt60,snr,grid_spacing_m,source_plane_z,search_plane_z,source1_start_sec,source2_start_sec,event_gap_sec,source_distance_cm,true1_x,true1_y,true2_x,true2_y,pred1_x,pred1_y,pred1_score,pred2_x,pred2_y,pred2_score,match1_error_cm,match2_error_cm,mean_error_cm,max_error_cm,num_true_sources,num_pred_peaks,num_hit,both_hit,miss_count,false_alarm_count,num_active_frames,frame_starts_sec,seed,noise_seed,hit_radius_m,min_pred_pair_distance_m,density_sigma_m,cluster_sigma_m,density_weight,cluster_prior_weight,hybrid_score_gamma,peak_threshold_rel,nms_radius_m,max_peak_candidates,frame_sec,hop_sec,max_active_frames,energy_threshold_rel,frames_per_event,min_event_gap_sec,cluster_trim_radius_m
day4_scene_0078,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.08272014334452688,0.6832737661683789,0.6005536228238519,40.533310109929296,1.0981809120736328,0.5303264192339444,0.6988102729310387,0.5995941277105897,1.1000000000000003,0.52,1.0,0.66,0.5800000000000001,0.22133296488527573,1.0485419165633432,4.34760523244764,2.698073574505492,4.34760523244764,2,2,2,True,0,0,4,0.070;0.105;0.560;0.595,20260705,21060705,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0079,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.21170219706008775,0.5538809913477905,0.3421787942877027,51.924000729862186,0.5908015634679783,0.6170989836490973,1.0914701648175533,0.4794721810191839,0.6000000000000001,0.6200000000000001,1.0,1.1000000000000003,0.5000000000000001,0.8223067374665477,0.9645057309411821,2.2229472336267224,1.5937264822839523,2.2229472336267224,2,2,2,True,0,0,4,0.105;0.140;0.420;0.455,20260706,21060706,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0080,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.34125623022601403,0.7970018472905088,0.4557456170644948,83.99629527242232,0.13378559662631442,0.296074170948957,0.9638564985868315,0.4246045551686002,0.1,0.36000000000000004,1.0,0.8800000000000001,0.4000000000000001,0.7545546673269271,7.2304758897732375,8.73916271177505,7.984819300774143,8.73916271177505,2,2,2,True,0,0,4,0.210;0.245;0.665;0.700,20260707,21060707,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0081,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.13191115312143778,0.7142291302548766,0.5823179771334388,43.39380805779061,0.14983558374319106,0.4743472100991239,0.5800116110989065,0.5313633767897392,0.08,0.4600000000000001,1.0,0.6000000000000001,0.52,0.6086652855621115,7.129411752999437,2.2992651498401475,4.714338451419792,7.129411752999437,2,2,2,True,0,0,4,0.035;0.070;0.595;0.630,20260708,21060708,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0082,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.19849778675046537,0.84981672292454,0.6513189361740747,65.36140569575235,0.37789091375478884,0.36583852182442295,1.0268051899580328,0.44407916083058524,1.0800000000000003,0.38000000000000006,1.0,0.38000000000000006,0.36000000000000004,0.7003509681609779,0.6207783975300827,8.328161062415283,4.474469729972683,8.328161062415283,2,2,2,True,0,0,4,0.070;0.105;0.735;0.770,20260709,21060709,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0083,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.18890022593657493,0.7832893875323571,0.5943891615957821,53.712029888410875,0.7002306377166375,0.6305040504047562,0.8951781781526236,0.13001062192510696,0.8800000000000001,0.1,1.0,0.7000000000000001,0.64,0.5820552919427687,0.9498750047861385,3.3630559322801727,2.1564654685331557,3.3630559322801727,2,2,2,True,0,0,4,0.070;0.105;0.665;0.700,20260710,21060710,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0084,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.2226458539984678,0.7618057128484215,0.5391598588499537,37.58335850473052,0.28664650794036484,0.6144670770934505,0.6346070136864932,0.47243056738412065,0.36000000000000004,0.66,1.0,0.6200000000000001,0.4000000000000001,0.742256480127766,8.633644575587269,7.388878088331833,8.01126133195955,8.633644575587269,2,2,2,True,0,0,4,0.105;0.140;0.630;0.665,20260711,21060711,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0085,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.05240603895048093,0.84367389646757,0.7912678575170891,104.39684523096308,0.11523007511667202,0.17095095063349794,1.0584995954934124,0.6182905770316073,0.08,0.08,1.0,1.1000000000000003,0.66,0.6150889536117712,9.753580682940665,5.883841889927624,7.818711286434144,9.753580682940665,2,2,2,True,0,0,4,0.035;0.070;0.700;0.735,20260712,21060712,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0086,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.10363974278441307,0.4322117641109576,0.3285720213265445,56.13879419328518,0.29517799591366356,0.6422335454829924,0.091877980789478,0.11895013737787297,0.30000000000000004,0.64,1.0,0.08,0.12000000000000001,0.5909721092906641,0.5314174332221459,1.1924287784205299,0.8619231058213379,1.1924287784205299,2,2,2,True,0,0,4,0.070;0.105;0.315;0.350,20260713,21060713,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0087,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.07349121335360562,0.5434156627055842,0.4699244493519785,91.61006328768292,1.0765118606518027,0.6498257507486167,0.3006038117818493,0.16278666683835308,1.1000000000000003,0.66,1.0,0.32000000000000006,0.16000000000000003,0.6264872018013347,2.5597031817568663,1.9595347138081192,2.2596189477824926,2.5597031817568663,2,2,2,True,0,0,4,0.070;0.105;0.420;0.455,20260714,21060714,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
