scene_id,experiment_id,variable,value,source_count,mic_layout,num_mics,num_pairs,rt60,snr,grid_spacing_m,source_plane_z,search_plane_z,source1_start_sec,source2_start_sec,event_gap_sec,source_distance_cm,true1_x,true1_y,true2_x,true2_y,pred1_x,pred1_y,pred1_score,pred2_x,pred2_y,pred2_score,match1_error_cm,match2_error_cm,mean_error_cm,max_error_cm,num_true_sources,num_pred_peaks,num_hit,both_hit,miss_count,false_alarm_count,num_active_frames,frame_starts_sec,seed,noise_seed,hit_radius_m,min_pred_pair_distance_m,density_sigma_m,cluster_sigma_m,density_weight,cluster_prior_weight,hybrid_score_gamma,peak_threshold_rel,nms_radius_m,max_peak_candidates,frame_sec,hop_sec,max_active_frames,energy_threshold_rel,frames_per_event,min_event_gap_sec,cluster_trim_radius_m
day4_scene_0001,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.14145508272629448,0.8342685836438108,0.6928135009175164,74.6817519580811,0.19377089176082304,0.46422080222562817,0.9270122305724858,0.6059725098362079,0.9600000000000001,0.56,1.0,0.18000000000000002,0.4600000000000001,0.9472421668804195,1.4403216006023465,5.65832536395979,3.549323482281068,5.65832536395979,2,2,2,True,0,0,4,0.035;0.070;0.700;0.735,20260628,21060628,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0002,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.17134107241205218,0.591355418392617,0.42001434598056475,92.30398987431813,0.27347768290746255,0.16764442587013825,1.0822432976344138,0.6125048928787938,1.1200000000000003,0.6200000000000001,1.0,0.26000000000000006,0.18000000000000002,0.6503631729375995,1.8284095510377751,3.8493443653196855,2.83887695817873,3.8493443653196855,2,2,2,True,0,0,4,0.035;0.070;0.455;0.490,20260629,21060629,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0003,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.09583932325137752,0.4669172374044576,0.3710779141530801,43.12239796010321,0.49775594042356636,0.38993954406434933,0.08200548352092384,0.504419577992521,0.12000000000000001,0.4800000000000001,1.0,0.5800000000000001,0.38000000000000006,0.8326935178126403,8.284250039574564,4.516524185489992,6.400387112532278,8.284250039574564,2,2,2,True,0,0,4,0.070;0.105;0.350;0.385,20260630,21060630,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0004,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.26247358724174424,0.5999284063760258,0.3374548191342816,73.40243472233338,0.39505153909355634,0.3008602444823998,1.1083520605795234,0.12767217224736224,0.4000000000000001,0.32000000000000006,1.0,1.1200000000000003,0.12000000000000001,0.755052889472241,1.9769104851158847,1.3947642085180405,1.6858373468169625,1.9769104851158847,2,2,2,True,0,0,4,0.140;0.175;0.490;0.525,20260631,21060631,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0005,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.4759404618318814,0.7847209641346612,0.3087805023027798,46.43212899031214,0.28104153557686534,0.34630233892072054,0.7227867137248586,0.48932491699948477,0.3400000000000001,0.3400000000000001,1.0,0.68,0.52,0.581623091840243,5.929435051508426,5.264659142301141,5.597047096904783,5.929435051508426,2,2,2,True,0,0,4,0.350;0.385;0.630;0.665,20260632,21060632,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0006,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.3550721969027962,0.7819454958799812,0.426873298977185,74.94968699163232,0.793905973624058,0.22991458269908527,0.09175400777419987,0.49207517254345035,0.8200000000000001,0.24000000000000005,1.0,0.08,0.52,0.5420115475561781,2.797523645372726,3.029773402804278,2.9136485240885017,3.029773402804278,2,2,2,True,0,0,4,0.245;0.280;0.665;0.700,20260633,21060633,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0007,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.07534790741819308,0.7930908988155279,0.7177429913973348,35.03508657167696,0.8129246023740273,0.577305042326408,0.8361299934031425,0.22772352259792494,0.8200000000000001,0.5000000000000001,1.0,0.8400000000000001,0.24000000000000005,0.4539998994888699,7.762815739571137,1.2872018041604105,4.525008771865774,7.762815739571137,2,2,2,True,0,0,4,0.070;0.105;0.665;0.700,20260634,21060634,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0008,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.05617485655028123,0.5882272138583272,0.532052357308046,41.729195257243134,0.19416208577310454,0.5006059137914908,0.4883638386812078,0.20467027506659563,0.4800000000000001,0.2,1.0,0.1,0.66,0.9945902643293193,18.51296116654145,0.9579418911548399,9.735451528848145,18.51296116654145,2,2,1,False,1,1,4,0.035;0.070;0.455;0.490,20260635,21060635,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0009,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.20624127817704077,0.6656221744254034,0.45938089624836265,46.54087130163792,0.1790040163511909,0.26043676973821217,0.49087898504417155,0.6058919391224823,0.08,0.3400000000000001,1.0,0.54,0.56,0.9254010059423559,12.70122154100036,6.722309265953435,9.711765403476898,12.70122154100036,2,2,1,False,1,1,4,0.105;0.140;0.525;0.560,20260636,21060636,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0010,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.07925715698053157,0.3731244808997872,0.29386732391925563,41.58292634470194,0.642552515359218,0.40827596706645086,0.22784581727414116,0.37774187297044776,0.22000000000000003,0.38000000000000006,1.0,0.6200000000000001,0.4000000000000001,0.9017140493852807,2.4023063499744075,0.8164311751813872,1.6093687625778974,2.4023063499744075,2,2,2,True,0,0,4,0.070;0.105;0.245;0.280,20260637,21060637,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0011,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.08764310776545806,0.6520237585361394,0.5643806507706813,58.34959365245488,0.8763256350012799,0.09991328412724862,0.4213853265619175,0.46528545561511403,0.8600000000000001,0.08,1.0,0.4200000000000001,0.4600000000000001,0.44722763115188424,2.575005326067393,0.5463988537917477,1.5607020899295705,2.575005326067393,2,2,2,True,0,0,4,0.070;0.105;0.525;0.560,20260638,21060638,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0012,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.44545070165108286,0.7685928298955098,0.32314212824442695,81.55745731273876,0.9231776011599884,0.5968475931671422,0.1120882397812908,0.5114313640873178,0.08,0.4200000000000001,1.0,0.9000000000000001,0.54,0.860146335533249,6.1390960608451115,9.689865567245642,7.914480814045376,9.689865567245642,2,2,2,True,0,0,4,0.315;0.350;0.630;0.665,20260639,21060639,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0013,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.210492088968518,0.8726390243498052,0.6621469353812872,60.828823076971005,0.3610257281111911,0.20446849745749407,0.8881393968927916,0.5080566261393403,0.8600000000000001,0.52,1.0,0.38000000000000006,0.22000000000000003,0.9081977573014943,2.452041119023731,3.056909937609441,2.754475528316586,3.056909937609441,2,2,2,True,0,0,4,0.105;0.140;0.735;0.770,20260640,21060640,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0014,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.04572796077728219,0.660797886263763,0.6150699254864809,53.39954301645498,0.418071934807044,0.31666859833736616,0.8729307716654824,0.596408759859467,0.4000000000000001,0.3400000000000001,1.0,0.8600000000000001,0.5800000000000001,0.6779624791868001,2.9511847302620744,2.089143977782506,2.52016435402229,2.9511847302620744,2,2,2,True,0,0,4,0.035;0.070;0.560;0.595,20260641,21060641,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0015,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.34169872116023153,0.6817212029334301,0.34002248177319855,35.25057020520772,1.0829813297514916,0.6022155924594725,1.0280649332485843,0.25401384149551876,1.1000000000000003,0.56,1.0,1.1200000000000003,0.24000000000000005,0.7633899178973388,4.551693513113272,9.299701205979066,6.925697359546168,9.299701205979066,2,2,2,True,0,0,4,0.210;0.245;0.560;0.595,20260642,21060642,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0016,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.2933833125206523,0.7193682819726239,0.4259849694519716,37.76011410659477,0.5744282379844668,0.5085917687807809,0.42954111878463547,0.15989369820355565,0.4200000000000001,0.08,1.0,0.6000000000000001,0.52,0.7127242577181225,2.800112055133211,8.046139422296479,5.423125738714845,8.046139422296479,2,2,2,True,0,0,4,0.175;0.210;0.630;0.665,20260643,21060643,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0017,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.3398733320120146,0.722018117813926,0.3821447858019114,86.484052288211,1.038108045368421,0.5486458728948187,0.18193240091646035,0.42652955184692903,0.16000000000000003,0.4200000000000001,1.0,1.0600000000000003,0.56,0.9496321730465153,2.4661181640621708,2.2883733464670537,2.377245755264612,2.4661181640621708,2,2,2,True,0,0,4,0.210;0.245;0.595;0.630,20260644,21060644,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0018,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.36747856832161846,0.8555097028660069,0.48803113454438846,34.41547990932268,0.3402889153934365,0.1978375273235919,0.11150361674321138,0.4549363660226934,0.16000000000000003,0.38000000000000006,1.0,0.3400000000000001,0.2,0.8268110925204551,0.21816874617543677,8.92600590503748,4.572087325606458,8.92600590503748,2,2,2,True,0,0,4,0.245;0.280;0.735;0.770,20260645,21060645,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0019,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.22372542818955976,0.677328090018018,0.4536026618284582,39.78813639211437,0.41074482681223384,0.595974097525449,0.6260546371766019,0.2613829061939834,0.4200000000000001,0.6000000000000001,1.0,0.6000000000000001,0.24000000000000005,0.871796550446411,1.0092874787202282,3.3705678983000102,2.189927688510119,3.3705678983000102,2,2,2,True,0,0,4,0.105;0.140;0.560;0.595,20260646,21060646,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0020,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.06704133803178493,0.37469764702546804,0.3076563089936831,78.03824476865424,0.25354538463267945,0.1134266274105519,1.0320963812355708,0.1668598600086627,0.24000000000000005,0.14,1.0,1.0800000000000003,0.08,0.49205727790934617,2.982652469908051,9.91937093340716,6.451011701657606,9.91937093340716,2,2,2,True,0,0,4,0.035;0.070;0.210;0.245,20260647,21060647,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0021,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.09132167390531898,0.7550768719327619,0.6637551980274429,36.84044841659084,0.4448264419939082,0.24050881219215808,0.6390973861363354,0.5535274445697834,0.6200000000000001,0.56,1.0,0.4600000000000001,0.24000000000000005,0.7429414977267139,1.518208656315474,2.016442736696278,1.767325696505876,2.016442736696278,2,2,2,True,0,0,4,0.070;0.105;0.665;0.700,20260648,21060648,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0022,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.11646197548149653,0.875952318410966,0.7594903429294695,31.57057259157286,0.3397103441849723,0.5771982658479587,0.543657193850119,0.33620907960168916,0.3400000000000001,0.5800000000000001,1.0,0.5800000000000001,0.36000000000000004,0.6932608996281571,0.28166673126044045,4.343739693221265,2.3127032122408524,4.343739693221265,2,2,2,True,0,0,4,0.035;0.070;0.735;0.770,20260649,21060649,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0023,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.2308451086182933,0.5958096484798349,0.36496453986154154,52.17446266237933,0.8075387689791832,0.6293393763484331,0.35748733532192667,0.3653864213093778,0.3400000000000001,0.38000000000000006,1.0,0.8000000000000002,0.66,0.8181549165623645,3.15738322099887,2.27895497719571,2.71816909909729,3.15738322099887,2,2,2,True,0,0,4,0.105;0.140;0.455;0.490,20260650,21060650,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0024,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.37134883633698534,0.716715527538371,0.34536669120138563,33.37499101339,0.23661781135398052,0.6422325380428189,0.5696407631715487,0.6202162695783388,0.5800000000000001,0.6200000000000001,1.0,0.2,0.66,0.767996331327642,4.070069793941602,1.036149411033268,2.553109602487435,4.070069793941602,2,2,2,True,0,0,4,0.245;0.280;0.595;0.630,20260651,21060651,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0025,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.13162375372639115,0.4199217107720043,0.2882979570456131,58.30384805352771,0.26010513592528467,0.2053947186329808,0.7633171707095682,0.49986291357624757,0.32000000000000006,0.26000000000000006,1.0,0.7400000000000001,0.5000000000000001,0.26691204341847646,8.1050178875188,2.331757368567142,5.218387628042971,8.1050178875188,2,2,2,True,0,0,4,0.035;0.070;0.245;0.280,20260652,21060652,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0026,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.5417836963996724,0.8480887265802992,0.3063050301806268,35.03506171905376,0.23625189895313847,0.6456835321604375,0.49533765754547215,0.40984433978473084,0.22000000000000003,0.66,1.0,0.56,0.4000000000000001,0.5610259669331575,2.1658381079486313,6.54074120991182,4.353289658930226,6.54074120991182,2,2,2,True,0,0,4,0.420;0.455;0.700;0.735,20260653,21060653,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0027,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.12115621996826828,0.7289560839724417,0.6077998640041734,43.92029045300619,0.19901429801544535,0.5773328824812874,0.6321850516520796,0.5047912424287427,0.6200000000000001,0.52,1.0,0.14,0.5800000000000001,0.7705740334780211,5.907453669826297,1.9487990933524193,3.928126381589358,5.907453669826297,2,2,2,True,0,0,4,0.035;0.070;0.595;0.630,20260654,21060654,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0028,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.14984095285214344,0.591456088695488,0.4416151358433446,32.949122726690646,1.0948529464683918,0.4464491114757158,0.7988793194330044,0.5912388933851087,1.1000000000000003,0.4000000000000001,1.0,0.7800000000000001,0.5800000000000001,0.7916346238090335,4.673341542130974,2.1971377443739173,3.4352396432524452,4.673341542130974,2,2,2,True,0,0,4,0.035;0.070;0.455;0.490,20260655,21060655,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0029,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.33321271730283875,0.6892881240033674,0.3560754067005286,89.35598368467382,0.21723820634030677,0.20520327210527217,1.1099478159700895,0.16623232266584634,1.1200000000000003,0.24000000000000005,1.0,0.22000000000000003,0.24000000000000005,0.7850680698012545,3.4906156711939156,7.444942325530136,5.467778998362026,7.444942325530136,2,2,2,True,0,0,4,0.210;0.245;0.595;0.630,20260656,21060656,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0030,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.10871280541719883,0.6358284580704205,0.5271156526532217,40.41610072983053,0.6236663764924888,0.16322260365205576,0.4349671764780475,0.5206281600362433,0.6000000000000001,0.18000000000000002,1.0,0.4600000000000001,0.52,0.9204614376323134,2.90099707773075,2.504070363452983,2.7025337205918665,2.90099707773075,2,2,2,True,0,0,4,0.105;0.140;0.525;0.560,20260657,21060657,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0031,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.05692554757109661,0.33752523184485594,0.28059968427375936,38.54337508440705,0.4848965046980987,0.4729622937979212,0.8501227995483357,0.3498000843353722,0.4800000000000001,0.4400000000000001,1.0,0.8600000000000001,0.36000000000000004,0.23277266371264402,3.3323993918481154,1.4198498805432926,2.376124636195704,3.3323993918481154,2,2,2,True,0,0,4,0.035;0.070;0.175;0.210,20260658,21060658,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0032,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.13611477446097356,0.7436171507606275,0.607502376299654,51.7479801721281,1.0246201003976265,0.6497941886806207,1.0101199366687597,0.13251757946526815,1.0800000000000003,0.14,1.0,1.0000000000000002,0.66,0.7110250698988274,2.665160273371886,7.027951243596372,4.846555758484129,7.027951243596372,2,2,2,True,0,0,4,0.035;0.070;0.630;0.665,20260659,21060659,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0033,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.07248193857358562,0.4768125292775053,0.40433059070391963,41.34683915598337,0.45018899255400285,0.6178307251310209,0.3100047425469953,0.22885195081415832,0.4400000000000001,0.66,1.0,0.3400000000000001,0.22000000000000003,0.5909397459695179,4.338275362677016,3.1274150714101214,3.7328452170435686,4.338275362677016,2,2,2,True,0,0,4,0.070;0.105;0.350;0.385,20260660,21060660,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0034,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.23536517562718234,0.655513730605533,0.42014855497835063,33.91650061965745,0.45332552112378355,0.2654604792780782,0.7528609029643959,0.42455622546232086,0.4400000000000001,0.28,1.0,0.7600000000000001,0.4200000000000001,0.9537030314244815,1.9722250785435034,0.8469114295324693,1.4095682540379864,1.9722250785435034,2,2,2,True,0,0,4,0.140;0.175;0.525;0.560,20260661,21060661,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0035,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.3900330835319151,0.6865511189267179,0.2965180353948028,51.08740671752591,0.3717937956079001,0.3429317482274682,0.8702926623747269,0.4546957511281364,0.38000000000000006,0.3400000000000001,1.0,0.8600000000000001,0.38000000000000006,0.7469210544126464,0.8714180293876359,7.5401552605742825,4.205786644980959,7.5401552605742825,2,2,2,True,0,0,4,0.280;0.315;0.525;0.560,20260662,21060662,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0036,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.0708242982984438,0.46335528263812253,0.3925309843396787,36.76054765055923,0.2562045011850405,0.32700432070505725,0.5971733271912276,0.46438716551788717,0.32000000000000006,0.3400000000000001,1.0,0.6000000000000001,0.38000000000000006,0.7103533610805047,6.510570903835171,8.443449403715954,7.477010153775563,8.443449403715954,2,2,2,True,0,0,4,0.035;0.070;0.350;0.385,20260663,21060663,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0037,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.2808811219527402,0.8025272266445787,0.5216461046918385,74.26612998352407,0.894186844702729,0.11073079034408095,0.188423744358415,0.34191092025439784,0.18000000000000002,0.3400000000000001,1.0,0.8800000000000001,0.1,0.9178196186886665,1.7788097819271407,0.8637770848696771,1.321293433398409,1.7788097819271407,2,2,2,True,0,0,4,0.140;0.175;0.665;0.700,20260664,21060664,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0038,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.46482775337006355,0.8335571956853384,0.3687294423152748,72.7336155093179,0.16822404030747973,0.30966664568755,0.8916851871260296,0.2346876382940296,0.14,0.3400000000000001,1.0,0.8000000000000002,0.24000000000000005,0.5330016264319368,4.143318519161754,9.183896082398853,6.663607300780304,9.183896082398853,2,2,2,True,0,0,4,0.315;0.350;0.700;0.735,20260665,21060665,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0039,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.04667689889245996,0.8591977766743055,0.8125208777818456,69.08599542472469,0.672758452536454,0.0813309217288723,1.1029388327207612,0.6219160832779044,1.1200000000000003,0.6200000000000001,1.0,0.68,0.08,0.9881065068731961,0.7362836567191604,1.716842462365269,1.2265630595422148,1.716842462365269,2,2,2,True,0,0,4,0.035;0.070;0.735;0.770,20260666,21060666,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0040,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.29394326808264976,0.598910223598694,0.3049669555160442,48.89343362449438,0.4852213587463958,0.17230630801825828,0.799304610345154,0.5470175251234245,0.5000000000000001,0.18000000000000002,1.0,0.7600000000000001,0.52,0.6696587100577025,1.6661366498959551,4.769485358169422,3.217811004032688,4.769485358169422,2,2,2,True,0,0,4,0.175;0.210;0.455;0.490,20260667,21060667,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0041,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.07344672224254797,0.6941531223023115,0.6207064000597635,43.296961114092646,1.0889820396927923,0.4803041772480745,0.7878450564617072,0.16921061977378946,1.1000000000000003,0.5000000000000001,1.0,0.7400000000000001,0.16000000000000003,0.5810281754732842,2.2568138673946554,4.872355636077135,3.564584751735895,4.872355636077135,2,2,2,True,0,0,4,0.070;0.105;0.560;0.595,20260668,21060668,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0042,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.37483885196423855,0.7197975046705388,0.3449586527063003,72.9412798609036,0.2345376931579769,0.6007371568412572,0.7980278351454406,0.13757207756863515,0.32000000000000006,0.52,1.0,0.8400000000000001,0.2,0.8168911879852918,11.756825415719106,7.522571449760264,9.639698432739685,11.756825415719106,2,2,1,False,1,1,4,0.245;0.280;0.595;0.630,20260669,21060669,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0043,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.09932050949135152,0.6072213847891597,0.5079008752978081,36.85752195209505,0.52049575105244,0.1583434566596382,0.15269970244312903,0.13439018815001313,0.5800000000000001,0.12000000000000001,1.0,0.14,0.4000000000000001,0.8514655006026166,7.078824981183504,26.591324636642206,16.835074808912854,26.591324636642206,2,2,1,False,1,1,4,0.070;0.105;0.490;0.525,20260670,21060670,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0044,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.09166177193256769,0.44124936646053503,0.34958759452796734,36.001550964636195,0.2844869376347042,0.18476541708939437,0.31338743566774335,0.5436190479744282,0.30000000000000004,0.24000000000000005,1.0,0.3400000000000001,0.54,0.5034410377753884,5.737171997820992,2.685751456445133,4.211461727133063,5.737171997820992,2,2,2,True,0,0,4,0.070;0.105;0.315;0.350,20260671,21060671,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
