scene_id,source_id,experiment_id,variable,value,source_count,mic_layout,num_mics,rt60,snr,true_x,true_y,true_z,pred_x,pred_y,pred_z,error_cm,score,matched,seed
scene_0001,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.91315373790865,0.24987425323090112,0.35,0.9000000000000001,0.3400000000000001,0.35,9.10805745022351,0.6427811351320658,True,20260627
scene_0002,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.28490299279029135,0.15044814792901381,0.35,0.30000000000000004,0.16000000000000003,0.35,1.7864979839787112,0.5920780847099788,True,20260628
scene_0003,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.9606201638731728,0.5449016856152197,0.35,1.0800000000000003,0.36000000000000004,0.35,22.00912960955469,0.6084618670538146,False,20260629
scene_0004,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.4116381790591716,0.5823789933975991,0.35,0.4400000000000001,0.64,0.35,6.42228408664203,0.6342129305988823,True,20260630
scene_0005,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,1.0196204002269478,0.6159782749667391,0.35,1.0400000000000003,0.54,0.35,7.866400926618986,0.6286476155807144,True,20260631
scene_0006,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,1.094307653923706,0.5733269789091149,0.35,1.1200000000000003,0.5800000000000001,0.35,2.654478964662322,0.720937915450188,True,20260632
scene_0007,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.8509747096579159,0.4141621795610436,0.35,0.22000000000000003,0.38000000000000006,0.35,63.18988358434064,0.5896796573721867,False,20260633
scene_0008,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.2305753021619123,0.4509116197272055,0.35,0.6000000000000001,0.38000000000000006,0.35,37.61689317116689,0.6855514783789336,False,20260634
scene_0009,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.5220358238642889,0.4679121573325631,0.35,0.5800000000000001,0.4000000000000001,0.35,8.92855353831433,0.5619538960301322,True,20260635
scene_0010,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,1.0224518580646798,0.6523153775791968,0.35,0.9800000000000001,0.66,0.35,4.314178571749226,0.6754389428359358,True,20260636
scene_0011,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.09847315520396024,0.283491514796888,0.35,0.08,0.3400000000000001,0.35,5.945137814331926,0.5326871185801819,True,20260637
scene_0012,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.4495819301539913,0.4288512450144497,0.35,0.4400000000000001,0.36000000000000004,0.35,6.951479932730688,0.672703214612696,True,20260638
scene_0013,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.45163029930715287,0.113007526181993,0.35,0.4400000000000001,0.08,0.35,3.499658049908464,0.6662344619314822,True,20260639
scene_0014,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.3065697040072544,0.6164446478443705,0.35,0.28,0.56,0.35,6.238547460193038,0.6445468999896607,True,20260640
scene_0015,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.4937844353414752,0.408594970371285,0.35,0.56,0.4000000000000001,0.35,6.677106048828751,0.7348135565003936,True,20260641
scene_0016,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.4649953139608252,0.6341734895235459,0.35,0.4800000000000001,0.16000000000000003,0.35,47.44108333186232,0.5933285698726356,False,20260642
scene_0017,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.1859284375253824,0.3862911620522877,0.35,0.22000000000000003,0.38000000000000006,0.35,3.4647512023663625,0.6889209575840799,True,20260643
scene_0018,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.2471042802545702,0.24185952611598088,0.35,0.6000000000000001,0.3400000000000001,0.35,36.628805826674835,0.6768255042670163,False,20260644
scene_0019,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.9879899635925242,0.2714508838831799,0.35,0.6000000000000001,0.36000000000000004,0.35,39.79662772316246,0.6014072459215987,False,20260645
scene_0020,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,1.0865441576090178,0.5403427921843991,0.35,1.1200000000000003,0.56,0.35,3.8803340180917267,0.6374620819350538,True,20260646
scene_0021,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.842195429424598,0.2079908062852881,0.35,0.8000000000000002,0.18000000000000002,0.35,5.063535820774591,0.6350595835785805,True,20260647
scene_0022,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.16059600051802178,0.15919361807085852,0.35,0.2,0.16000000000000003,0.35,3.9412249707310374,0.6062003937639142,True,20260648
scene_0023,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.9381766747458229,0.5210068394667083,0.35,0.9000000000000001,0.4000000000000001,0.35,12.6886223414404,0.6083027468867267,False,20260649
scene_0024,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.1571743935650829,0.4580429760398142,0.35,0.26000000000000006,0.4000000000000001,0.35,11.807663785129941,0.5815165670572846,False,20260650
scene_0025,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.35878053338996857,0.33664244743901645,0.35,0.36000000000000004,0.3400000000000001,0.35,0.35721503345673195,0.6329161949997251,True,20260651
scene_0026,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.8382648435522316,0.39711726553020493,0.35,0.8200000000000001,0.4000000000000001,0.35,1.8490934752219537,0.7160445507943697,True,20260652
scene_0027,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.17413013419597273,0.5413371046117295,0.35,0.12000000000000001,0.54,0.35,5.414664603478893,0.6814003143382947,True,20260653
scene_0028,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.7140792959859823,0.48394441623276513,0.35,0.7200000000000001,0.4000000000000001,0.35,8.415295450951984,0.6157909901705766,True,20260654
scene_0029,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.8359175482022422,0.49158505909396566,0.35,0.32000000000000006,0.4000000000000001,0.35,52.398352988644405,0.617892650753287,False,20260655
scene_0030,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.2816634964931603,0.08602194687590838,0.35,1.1200000000000003,0.66,0.35,101.60014264656307,0.6159991596403958,False,20260656
scene_0031,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,1.0808523467099977,0.3304179764471413,0.35,1.1200000000000003,0.32000000000000006,0.35,4.051015911308471,0.691701166246706,True,20260657
scene_0032,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.9571532491424077,0.3560065583671004,0.35,0.9200000000000002,0.38000000000000006,0.35,4.4227244581017855,0.6173253002119549,True,20260658
scene_0033,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,1.104402647505421,0.6554898977639605,0.35,1.0600000000000003,0.66,0.35,4.463111165622215,0.6915717515203863,True,20260659
scene_0034,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,1.0774154973452033,0.631195539492706,0.35,1.1200000000000003,0.64,0.35,4.348515138735197,0.6724908684376071,True,20260660
scene_0035,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.660505642347543,0.184629172196087,0.35,0.6000000000000001,0.24000000000000005,0.35,8.201744526367165,0.6766289150441935,True,20260661
scene_0036,source_001,E1,mic_count,4,1,mic_4,4,0.3,20.0,0.9135425399173397,0.11727817583086708,0.35,0.9600000000000001,0.5000000000000001,0.35,38.553117940405386,0.7008860994755168,False,20260662
