scene_id,source_id,experiment_id,variable,value,source_count,mic_layout,num_mics,num_pairs,rt60,snr,scene_type,grid_spacing_m,search_plane_z,source_plane_z,true_x,true_y,true_z,pred_x,pred_y,pred_z,error_cm,hit_10cm,hit_20cm,score,srp_peak_score,matched,seed,noise_seed
scene_0018,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.2471042802545702,0.24185952611598088,0.35,0.6000000000000001,0.3400000000000001,0.35,36.628805826674835,False,False,0.6768255042670163,0.6768255042670163,False,20260644,20300644
scene_0019,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.9879899635925242,0.2714508838831799,0.35,0.6000000000000001,0.36000000000000004,0.35,39.79662772316246,False,False,0.6014072459215987,0.6014072459215987,False,20260645,20300645
scene_0020,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,1.0865441576090178,0.5403427921843991,0.35,1.1200000000000003,0.56,0.35,3.8803340180917267,True,True,0.6374620819350538,0.6374620819350538,True,20260646,20300646
scene_0021,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.842195429424598,0.2079908062852881,0.35,0.8000000000000002,0.18000000000000002,0.35,5.063535820774591,True,True,0.6350595835785805,0.6350595835785805,True,20260647,20300647
scene_0022,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.16059600051802178,0.15919361807085852,0.35,0.2,0.16000000000000003,0.35,3.9412249707310374,True,True,0.6062003937639142,0.6062003937639142,True,20260648,20300648
scene_0023,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.9381766747458229,0.5210068394667083,0.35,0.9000000000000001,0.4000000000000001,0.35,12.6886223414404,False,True,0.6083027468867267,0.6083027468867267,False,20260649,20300649
scene_0024,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.1571743935650829,0.4580429760398142,0.35,0.26000000000000006,0.4000000000000001,0.35,11.807663785129941,False,True,0.5815165670572846,0.5815165670572846,False,20260650,20300650
scene_0025,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.35878053338996857,0.33664244743901645,0.35,0.36000000000000004,0.3400000000000001,0.35,0.35721503345673195,True,True,0.6329161949997251,0.6329161949997251,True,20260651,20300651
scene_0026,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.8382648435522316,0.39711726553020493,0.35,0.8200000000000001,0.4000000000000001,0.35,1.8490934752219537,True,True,0.7160445507943697,0.7160445507943697,True,20260652,20300652
scene_0027,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.17413013419597273,0.5413371046117295,0.35,0.12000000000000001,0.54,0.35,5.414664603478893,True,True,0.6814003143382947,0.6814003143382947,True,20260653,20300653
