metric,mean,std,median,min,max
localization_error_cm,5.294453683224413,4.976865267354117,4.218897505521911,0.07016555395838238,39.84899068839526
mic0_si_sdr_db,19.94884635516355,0.40142854768153535,19.86543922036814,19.391227201917754,21.766860185471742
das_true_si_sdr_db,27.163522033406363,0.3777334667742809,27.154275436987206,26.05732853092054,28.048609891893477
das_est_si_sdr_db,27.01486823324352,0.34732031931164187,27.025314926836767,25.860652008038496,27.80866257030741
das_true_si_sdri_db,7.214675678242811,0.6107391033754953,7.284415207457233,4.697366899599309,8.576507456872609
das_est_si_sdri_db,7.066021878079964,0.5644484124040997,7.124160368862917,4.093791822566754,8.159283057324206
mic0_snr_ref_db,19.923976183824127,0.4121880949188155,19.832606886775377,19.28733919158047,21.769875227025352
das_true_snr_ref_db,26.72906696255152,0.8195843738919997,26.94534880584539,24.235895203635213,27.977860592076446
das_est_snr_ref_db,26.59124538954721,0.764000223059021,26.78306111597951,23.996581272511218,27.810555738674566
das_true_snr_improvement_db,6.805090778727389,0.8584898966992102,7.043427578161671,4.69867781776987,8.454506875983178
das_est_snr_improvement_db,6.667269205723086,0.7980484305511873,6.7290592313341815,4.095387769942004,8.16328779357774
